path,contentType,ytdPageviews,wordCount,intent,cannibalWith,decision,priority,reason
/bondi-blog/2023/11/20/an-insiders-guide-to-finding-a-car-park-at-bronte-beach,blog-post-dated,886,297,bronte parking,(protected),KEEP,1,Protected (886 ytd). Distinct Bronte location — no conflict
/where-to-swim-at-bondi-beach,core-page,849,929,where to swim at bondi,(survivor / protected),KEEP,1,"Protected core pillar (849 ytd, 929w). Add BeachTouristAttraction schema (currently WebSite-only)"
/bondi-blog/2025/4/30/bondi-icebergs-ocean-pool-faq-20-essential-questions-answered-hours-fees-membership-more,blog-post-dated,841,563,bondi icebergs pool FAQ,(survivor / protected),KEEP,1,Protected pillar (841 ytd). Absorb satellite Qs; differentiate from can-anyone-swim
/bondi-blog/city2surf-results,blog-post-legacy,603,286,city2surf results,(protected),KEEP,1,Protected (603 ytd). Distinct results intent
/bondi-blog/can-anyone-swim-at-bondi-icebergs-swimming-pool,blog-post-legacy,534,653,can public swim at icebergs,(survivor / protected),KEEP,1,Protected (534 ytd). Keep as public-access pillar; REQUIRES OWNER APPROVAL to merge with FAQ
/bondi-blog/what-to-do-bondi-beach-travel-guide,blog-post-legacy,465,1982,ultimate bondi travel guide,(survivor),KEEP,1,"Cluster survivor (465 ytd, 1982w, protected) — make canonical pillar; interlink hubs"
/bondi-blog/2026/2/21/the-ultimate-bondi-beach-travel-guide-2026-edition,blog-post-dated,0,582,ultimate bondi travel guide,/bondi-blog/what-to-do-bondi-beach-travel-guide,REDIRECT,1,"Near-dup of pillar (582w, 2 imp); 301 to survivor"
/bondi-blog/2025/4/30/ultimate-bondi-beach-travel-guide-how-to-get-there-when-to-visit-top-things-to-do,blog-post-dated,0,662,ultimate bondi travel guide,/bondi-blog/what-to-do-bondi-beach-travel-guide,REDIRECT,1,"Near-dup (662w, 0 imp); 301 to survivor"
/bondi-blog/2025/3/8/the-ultimate-bondi-beach-travel-guide-must-see-spots-hidden-gems,blog-post-dated,0,446,ultimate bondi travel guide,/bondi-blog/what-to-do-bondi-beach-travel-guide,REDIRECT,1,"Near-dup (446w, 3 imp); 301 to survivor"
/bondi-blog/2025/1/5/who-can-swim-at-bondi-icebergs-ocean-pool,blog-post-dated,0,520,who can swim at icebergs,/bondi-blog/can-anyone-swim-at-bondi-icebergs-swimming-pool,REDIRECT,1,"Exact-intent dup (520w, 2 imp); 301 to CAS"
/bondi-blog/2024/9/21/can-the-public-swim-at-bondi-icebergs-ocean-pool,blog-post-dated,0,884,can public swim at icebergs,/bondi-blog/can-anyone-swim-at-bondi-icebergs-swimming-pool,REDIRECT,1,"Exact-intent dup of protected CAS (884w, 9 imp, 0 ytd); 301"
/bondi-blog/best-restaurants-bondi-beach,blog-post-legacy,0,221,best bondi restaurants,(survivor),EXPAND,1,Redirect DESTINATION but only 221w — thinner than the 1118w must-experience page 301d into it. EXPAND/migrate richer body first
/bondi-icebergs,core-page,0,0,place/location page,,KEEP,1,App-rendered Place page w/ Place schema (0 crawl-words = artifact). Keep
/bondi-coastal-walk,hub,0,0,topic hub,,KEEP,1,App-rendered aggregation hub (0 crawl-words is an artifact). Add schema; keep as pillar
/bondi-eat-and-drink,hub,0,0,topic hub,,KEEP,1,App-rendered aggregation hub (0 crawl-words is an artifact). Add schema; keep as pillar
/bondi-rescue,hub,0,0,topic hub,,KEEP,1,App-rendered aggregation hub (0 crawl-words is an artifact). Add schema; keep as pillar
/bondi-weather,hub,0,0,topic hub,,KEEP,1,App-rendered aggregation hub (0 crawl-words is an artifact). Add schema; keep as pillar
/bondi-with-kids,hub,0,0,topic hub,,KEEP,1,App-rendered aggregation hub (0 crawl-words is an artifact). Add schema; keep as pillar
/getting-to-bondi,hub,0,0,topic hub,,KEEP,1,App-rendered aggregation hub (0 crawl-words is an artifact). Add schema; keep as pillar
/things-to-do-in-bondi,hub,0,0,topic hub,,KEEP,1,App-rendered aggregation hub (0 crawl-words is an artifact). Add schema; keep as pillar
/bondi-beach,core-page,0,0,place/location page,,KEEP,1,App-rendered Place page w/ Place schema (0 crawl-words = artifact). Keep
/north-bondi,core-page,0,0,place/location page,,KEEP,1,App-rendered Place page w/ Place schema (0 crawl-words = artifact). Keep
/tamarama-beach,core-page,0,0,place/location page,,KEEP,1,App-rendered Place page w/ Place schema (0 crawl-words = artifact). Keep
/bronte-beach,core-page,0,0,place/location page,,KEEP,1,App-rendered Place page w/ Place schema (0 crawl-words = artifact). Keep
/ben-buckler,core-page,0,0,place/location page,,KEEP,1,App-rendered Place page w/ Place schema (0 crawl-words = artifact). Keep
/bondi-pavilion,core-page,0,0,place/location page,,KEEP,1,App-rendered Place page w/ Place schema (0 crawl-words = artifact). Keep
/mackenzies-bay,core-page,0,0,place/location page,,KEEP,1,App-rendered Place page w/ Place schema (0 crawl-words = artifact). Keep
/marks-park,core-page,0,0,place/location page,,KEEP,1,App-rendered Place page w/ Place schema (0 crawl-words = artifact). Keep
/bondi-blog/bondi-rescue-who-are-the-lifeguards,blog-post-legacy,3452,1176,,,KEEP,2,Protected high-traffic page; keep
/bondi-blog/2023/10/4/finding-free-parking-at-bondi-beach-made-easy,blog-post-dated,720,178,free parking bondi,/bondi-blog/2025/4/25/ultimate-bondi-beach-parking-guide-free-and-paid-options-for-busy-days,KEEP,2,Protected (720 ytd) but overlaps ultimate-parking. REQUIRES OWNER APPROVAL to merge; differentiate free-vs-paid + interlink
/bondi-blog/2024/3/19/bondis-best-running-routes,blog-post-dated,461,465,,,KEEP,2,Protected high-traffic page; keep
/bondi-blog/ultimate-guide-city-to-surf,blog-post-legacy,451,1531,city2surf guide,(protected),KEEP,2,"Protected (451 ytd, 451 imp). Cluster pillar"
/bondi-blog/2025/6/4/tamarama-coogee-clovelly-beach-parking-ultimate-guide-to-free-paid-spots,blog-post-dated,448,938,tamarama/coogee/clovelly parking,(protected),KEEP,2,Protected (448 ytd). Distinct neighbouring-beaches parking
